text,sentiment
team 2019merimera alikuwa takataka,negative
sijafurahishwa,negative
kubuni dosari,negative
bila kusema nilipoteza pesa zangu,negative
sema kupoteza pesa na wakati,negative
ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,negative
akili yako imeoza,negative
aki si maisha ni magumu,negative
enyewe safaricom ni wezi,negative
mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,negative
mtandao wenu wa 4g ni mbaya sana siku hizi tafadhali rekebisheni,negative
safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,negative
hauna haki,negative
nyinyi mimi nilinunua laini yenu miaka 20 iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,negative
siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,negative
ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,negative
muziki mdogo sana au kitu chochote cha kuzungumzia,negative
bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,negative
nimepoteza masaa mawili,negative
inaweza kutabirika kidogo,negative
sikuipenda mimi,negative
mimi sipenda ujinga,negative
ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,negative
picha ni mbali na sehemu bora ya mchezo,negative
leo picha ni ujinga,negative
hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,negative
sikuvutiwa hata kidogo,negative
haisisimui hata kidogo,negative
lakini hata carrell mwenye talanta hawezi kuokoa hii,negative
hadithi yenyewe ni ya kutabirika tu na ya uvivu,negative
lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,negative
kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,negative
muda mrefu mwepesi na hauna maana,negative
lakini napendekeza subiri juhudi zao za baadaye acha hii iende,negative
nilikatishwa tamaa katika sinema,negative
hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika,negative
sinema hii inaoga kabisa kwenye mishipa yangu,negative
na kwa uaminifu kabisa mara nyingi sio nzuri sana,negative
mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine au inafaa mazingira,negative
nisingesema wanafaa masaa 2 ya wakati wako ingawa,negative
shida ilikuwa maandishi,negative
ilikuwa ya kutisha,negative
tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,negative
hakuna kitu cha kuaminika juu yake kabisa,negative
kwa kweli baada ya klabu ya pamba na kutokuwa mwaminifu ilikuwa ni aibu kuona lane na gere kwenye filamu hii kwa sababu ni mbaya,negative
kitendo kilikuwa kibovu mazungumzo hayakuwa ya kina na ya udanganyifu,negative
inasikitisha sana,negative
kuelekeza na sinema sio nzuri kabisa,negative
saa na nusu napenda ningeweza kurudisha,negative
uongozaji unaonekana kuwa wa kawaida sana,negative
na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani,negative
walakini hii haikufanya kwa ukweli wa jumla hii ilikuwa sinema ya kuchosha sana,negative
kulikuwa na dakika kadhaa kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole,negative
siwezi kuamini kuwa waigizaji walikubali kufanya filamu hii,negative
hii ilikuwa kumbukumbu mbaya ya harusi ya marafiki wangu bora,negative
sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza iq,negative
sinema hii ni janga safi hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona unachanganya sana,negative
ni kupoteza saa na nusu ya muda kufuatia rundo la watu wazuri sana kulia na kulia juu ya maisha,negative
niliona mirrormask jana usiku na ilikuwa uzoefu usioridhisha,negative
kaimu ni mbaya na uandishi ni mbaya zaidi,negative
nililipa sana,negative
tena hakuna mpango hata,negative
hakuna mpango wowote,negative
mbaya,negative
hakuna kiwango au habari,negative
nachukia sinema kama hizo,negative
namaanisha hii kwa njia mbaya,negative
hii ni filamu mbaya iliyo na uandishi mbaya na watendaji wazuri katuni mbaya iliyotengenezwa na paul haggis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi picha iliyochorwa na makrayoni,negative
ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa 750 ili kuona ujuaji huu,negative
kila kitu ni cha kutisha,negative
filamu hii haina huduma za kukomboa,negative
hadithi ni zaidi ya kijinga,negative
watoto wanachukiza,negative
nitasema tena hii ni mateso,negative
huo kabisa bila sifa yoyote hii ni sawa na kuteswa,negative
mtu anayeongoza hana dhamana,negative
labda kungekuwa na maelezo ya kuridhika kwa udhalimu huu,negative
sio safari ya kupendeza ya kujitambua,negative
ndio ni mbaya sana,negative
hakuna chochote cha kupendekeza,negative
sinema hii iliteseka kwa sababu ya uandishi ilihitaji tuhuma zaidi,negative
sinema hii ni mbaya,negative
mbaya sana,negative
kwa kweli hii ni moja wapo ya zile mbaya,negative
uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,negative
sioni kweli jinsi mtu yeyote angefurahiya sinema hii,negative
labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa ambayo sio ya kushangaza sana,negative
usipoteze wakati wako,negative
walakini hivi majuzi nilitazama kitu hicho tena kwenye dvd na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga jinsi ilivyokuwa na mashimo kutokubaliana na kusema ukweli ujangili mwingi na jinsi dansi hiyo ilivyokuwa,negative
mishima haifurahishi sana,negative
kwa hivyo hadithi nzima haina nguvu fulani,negative
kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,negative
maendeleo ya mhusika pia hayapatikani kwa kina,negative
ninamaanisha katika ulimwengu wa kweli asingeweza kuingia kwenye kumbukumbu hiyo ya ballet jambo lote lilikuwa ni ujinga kabisa,negative
mazungumzo mabaya zaidi yaliyo wazi kabisa ningeweza kuendelea na kuendelea,negative
kwa kusikitisha filamu hiyo inashindwa,negative
sinema haina upendeleo wa kuona mchezo wa kuigiza usemi wa hisia na maadhimisho ya uzalendo ambao unasisitiza hadithi hiyo,negative
hakuna mwigizaji ambaye ametumika vibaya zaidi kwamba juni allison kwenye sinema hii,negative
kwa bahati mbaya hii ni sinema mbaya ambayo ni mbaya kabisa,negative
lakini sinema hii sio ya kuchekesha ukizingatia ujinga wake,negative
nilitoka ndani nikisikia hasira,negative
sina uhakika alikuwa anajaribu kufanya nini na filamu hii,negative
ikiwa ilikuwa kugeuza hisia zangu za siku njema kuwa usiku wa kumbukumbu zinazosumbua kuliko nadhani alifanikiwa,negative
ililazimishwa kama kila kitu kwenye sinema hii,negative
nilipoiona kwenye ukumbi wa michezo nilidhani nitakuwa mgonjwa,negative
ukadiriaji 1 kati ya 10,negative
kwa kweli nilitapika nikitazama filamu hii,negative
natafsiri sinema kwa ajili ya kuishi na hii ni sinema ya kwanza katika uzoefu wangu wa miaka 5 wa kufanya kazi ambao nimepata kukosoa akili yangu,negative
kwa wale wanaopata sinema hii kuwa ya akili au hata ya ustadi naweza kusema tu ni akili yako na fikira zako waziwazi ulizoea kujaribu na kufanya hisia za jaribio hili la kusikitisha ni kwa asili yetu ya kibinadamu kujaribu na kufanya hisia za mambo,negative
lakini wakati mtu anajitahidi kwa ukuu na ushairi lakini akiwasilisha hadithi ya matope na mara nyingi ni ujinga kundi la visa tofauti mazungumzo ya udanganyifu halafu unapata aina mbaya zaidi ya sinema ambayo mhakiki wengine alielezea kwa usahihi kama dharau ujanja,negative
jambo moja zaidi naweza kuvumilia usahihi wa kisiasa vizuri mimi ni wote kwa uhuru wa kisanii na kusimamishwa kwa kutokuamini lakini tabia ya kike ya slavic ilikuwa tu sana,negative
mipangilio ya malta ni kavu na tasa kama mazungumzo,negative
sinema hii ni mbaya,negative
kwa wale ambao hawajaiona usipoteze wakati wako,negative
kuiita sinema hii mchezo wa kuigiza ni ujinga,negative
nilianza kutizama hii lakini sikuamini mhusika yeyote,negative
hasa uhusiano kati ya msaidizi wa mkate na kijakazi haukufanya kazi kwangu kabisa,negative
nimefurahi sikulipa kuiona,negative
sikucheka au hata kutabasamu mara moja,negative
kila kitu kuhusu sinema hii ni kijinga,negative
hata kama unapenda sinema mbaya usitazame sinema hii,negative
ni aibu,negative
wahusika mpya hawakuwa wa kukumbukwa kabisa na nilijikuta nikisahau ni nani,negative
nilihisi kana kwamba kwenda kwake ireland hakukufanya chochote,negative
haikuniogopeshawala kunishtua au kunifanya niwe na huruma kwa wahusika ilikuwa ya kukasirisha tu,negative
kulikuwa na majaribio machache ya huruma kuwapa wahusika kina kirefu lakini haikufanya kazi kabisa katika mpango wote uliobaki,negative
ikiwa utaiona labda unapaswa kuiacha kwenye rafu,negative
lucy bell ni juu sana kuliko ujinga huu na kwa yeye kuzama kwa hali ya chini hii ni ya kufadhaisha,negative
karibu nyimbo zote kwenye cover girl ni za zamani na sio za kufurahisha,negative
jambo la kuchukiza juu ya msichana wa jalada ni njia ambayo rita hayworth amewekwa juu ya msingi,negative
kwa bahati mbaya cover girl ni kielelezo cha jinsi hollywood ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha,negative
mbaya zaidi kuliko ticker,negative
sinema hiyo ilikuwa mbaya,negative
sikuweza kuzichukua kwa uzito,negative
